1.1	Scope
1.2	Notational conventions
1.2.1	Notational conventions_Requirements notation
1.2.2	Notational conventions_Syntactic notation
1.3	Structure of this document
2	Lexical Analysis of Messages
2.1	Lexical Analysis of Messages_General Description
2.1.1	Lexical Analysis of Messages_General Description_Line Length Limits
2.2	Lexical Analysis of Messages_Header Fields
2.2.1	Lexical Analysis of Messages_Header Fields_Unstructured Header Field Bodies
2.2.2	Lexical Analysis of Messages_Header Fields_Structured Header Field Bodies
2.2.3	Lexical Analysis of Messages_Header Fields_Long Header Fields
2.3	Lexical Analysis of Messages_Body
3	Syntax
3.2	Syntax_Lexical Tokens
3.2.1	Syntax_Lexical Tokens_Primitive Tokens
3.2.2	Syntax_Lexical Tokens_Quoted characters
3.2.3	Syntax_Lexical Tokens_Folding white space and comments
3.2.4	Syntax_Lexical Tokens_Atom
3.2.5	Syntax_Lexical Tokens_Quoted strings
3.2.6	Syntax_Lexical Tokens_Miscellaneous tokens
3.3	Syntax_Date and Time Specification
3.4	Syntax_Address Specification
3.4.1	Syntax_Address Specification_Addr-spec specification
3.5	Syntax_Overall message syntax
3.6	Syntax_Field definitions
3.6.1	Syntax_Field definitions_The origination date field
3.6.2	Syntax_Field definitions_Originator fields
3.6.3	Syntax_Field definitions_Destination address fields
3.6.4	Syntax_Field definitions_Identification fields
3.6.5	Syntax_Field definitions_Informational fields
3.6.6	Syntax_Field definitions_Resent fields
3.6.7	Syntax_Field definitions_Trace fields
3.6.8	Syntax_Field definitions_Optional fields
4	Obsolete Syntax
4.1	Obsolete Syntax_Miscellaneous obsolete tokens
4.2	Obsolete Syntax_Obsolete folding white space
4.3	Obsolete Syntax_Obsolete Date and Time
4.4	Obsolete Syntax_Obsolete Addressing
4.5	Obsolete Syntax_Obsolete header fields
4.5.1	Obsolete Syntax_Obsolete header fields_Obsolete origination date field
4.5.2	Obsolete Syntax_Obsolete header fields_Obsolete originator fields
4.5.3	Obsolete Syntax_Obsolete header fields_Obsolete destination address fields
4.5.4	Obsolete Syntax_Obsolete header fields_Obsolete identification fields
4.5.5	Obsolete Syntax_Obsolete header fields_Obsolete informational fields
4.5.6	Obsolete Syntax_Obsolete header fields_Obsolete resent fields
4.5.7	Obsolete Syntax_Obsolete header fields_Obsolete trace fields
4.5.8	Obsolete Syntax_Obsolete header fields_Obsolete optional fields
5	Security Considerations
6	Bibliography
7	Editor's Address
8	Acknowledgements
